trade_date,open,high,low,close,vol,amount,ts_code,pre_close,change,pct_chg
2024-11-01,5.85,5.885,5.757,5.806,400553437.0,2334815276.7,510500.SH,,,
2024-11-04,5.806,5.893,5.802,5.891,274955187.0,1607401488.94,510500.SH,5.806,0.08499999999999996,1.464
2024-11-05,5.892,6.093,5.863,6.07,588959751.0,3534847122.79,510500.SH,5.891,0.17900000000000027,3.0385
2024-11-06,6.074,6.159,6.035,6.077,513407226.0,3130969726.03,510500.SH,6.07,0.006999999999999673,0.1153
2024-11-07,6.044,6.201,6.025,6.194,448598350.0,2740324322.78,510500.SH,6.077,0.11699999999999999,1.9253
2024-11-08,6.25,6.286,6.157,6.177,575913155.0,3581736098.39,510500.SH,6.194,-0.017000000000000348,-0.2745
2024-11-11,6.138,6.284,6.134,6.281,502297543.0,3121900349.35,510500.SH,6.177,0.10400000000000009,1.6837
2024-11-12,6.288,6.329,6.161,6.222,445262493.0,2783409078.15,510500.SH,6.281,-0.058999999999999275,-0.9393
2024-11-13,6.185,6.226,6.114,6.203,288427086.0,1780235955.79,510500.SH,6.222,-0.019000000000000128,-0.3054
2024-11-14,6.194,6.194,6.025,6.036,533344790.0,3248174938.98,510500.SH,6.203,-0.1670000000000007,-2.6922
2024-11-15,6.024,6.048,5.877,5.879,772323390.0,4604995527.25,510500.SH,6.036,-0.15700000000000003,-2.6011
2024-11-18,5.888,5.925,5.752,5.791,660963889.0,3866600959.25,510500.SH,5.879,-0.08799999999999919,-1.4969
2024-11-19,5.794,5.887,5.736,5.882,720908563.0,4200800286.43,510500.SH,5.791,0.0909999999999993,1.5714
2024-11-20,5.869,5.965,5.849,5.942,551737015.0,3258601169.07,510500.SH,5.882,0.0600000000000005,1.0201
2024-11-21,5.931,5.96,5.892,5.937,193884739.0,1149490700.08,510500.SH,5.942,-0.004999999999999893,-0.0841
2024-11-22,5.925,5.931,5.699,5.703,269664795.0,1567370019.21,510500.SH,5.937,-0.23399999999999999,-3.9414
2024-11-25,5.717,5.727,5.622,5.688,234111211.0,1330469442.78,510500.SH,5.703,-0.015000000000000568,-0.263
2024-11-26,5.673,5.725,5.644,5.649,194551217.0,1105373414.08,510500.SH,5.688,-0.0389999999999997,-0.6857
2024-11-27,5.646,5.768,5.566,5.757,348414676.0,1974646674.85,510500.SH,5.649,0.10799999999999965,1.9118
2024-11-28,5.75,5.779,5.702,5.72,268617286.0,1542257518.38,510500.SH,5.757,-0.03699999999999992,-0.6427
2024-11-29,5.715,5.862,5.694,5.804,414182921.0,2400334450.27,510500.SH,5.72,0.08400000000000052,1.4685
2024-12-02,5.806,5.919,5.799,5.894,374150946.0,2198082088.55,510500.SH,5.804,0.08999999999999986,1.5507
2024-12-03,5.896,5.915,5.836,5.884,304200802.0,1786279165.38,510500.SH,5.894,-0.009999999999999787,-0.1697
2024-12-04,5.878,5.9,5.808,5.84,270713403.0,1582832036.53,510500.SH,5.884,-0.04400000000000048,-0.7478
2024-12-05,5.825,5.88,5.808,5.857,200217032.0,1170127565.55,510500.SH,5.84,0.017000000000000348,0.2911
2024-12-06,5.855,5.974,5.828,5.933,548802974.0,3246628869.07,510500.SH,5.857,0.07599999999999962,1.2976
2024-12-09,5.932,5.954,5.863,5.901,412870834.0,2440193600.01,510500.SH,5.933,-0.03200000000000003,-0.5394
2024-12-10,6.132,6.135,5.934,5.952,568615716.0,3428981362.67,510500.SH,5.901,0.051000000000000156,0.8643
2024-12-11,5.938,6.008,5.935,5.996,574923870.0,3442316136.22,510500.SH,5.952,0.04400000000000048,0.7392
2024-12-12,5.995,6.07,5.979,6.051,439695431.0,2651723762.52,510500.SH,5.996,0.054999999999999716,0.9173
2024-12-13,5.994,6.016,5.937,5.955,796670223.0,4752739365.35,510500.SH,6.051,-0.09600000000000009,-1.5865
2024-12-16,5.947,5.953,5.845,5.864,464253203.0,2728886123.72,510500.SH,5.955,-0.09100000000000019,-1.5281
2024-12-17,5.86,5.876,5.792,5.801,451865323.0,2629190849.35,510500.SH,5.864,-0.06299999999999972,-1.0744
2024-12-18,5.815,5.876,5.8,5.838,273422739.0,1596610199.26,510500.SH,5.801,0.03699999999999992,0.6378
2024-12-19,5.791,5.874,5.768,5.856,333323635.0,1940603790.79,510500.SH,5.838,0.017999999999999794,0.3083
2024-12-20,5.846,5.908,5.838,5.868,424454320.0,2494039594.59,510500.SH,5.856,0.012000000000000455,0.2049
2024-12-23,5.869,5.883,5.772,5.776,479480057.0,2789552324.22,510500.SH,5.868,-0.09200000000000053,-1.5678
2024-12-24,5.777,5.85,5.776,5.841,457759290.0,2660178401.55,510500.SH,5.776,0.06500000000000039,1.1253
2024-12-25,5.842,5.842,5.746,5.792,494272616.0,2862134190.14,510500.SH,5.841,-0.04900000000000038,-0.8389
2024-12-26,5.792,5.847,5.788,5.836,280856922.0,1637401615.56,510500.SH,5.792,0.04400000000000048,0.7597
2024-12-27,5.827,5.932,5.827,5.85,315035370.0,1851891986.38,510500.SH,5.836,0.013999999999999346,0.2399
2024-12-30,5.847,5.879,5.818,5.848,193273475.0,1131333792.38,510500.SH,5.85,-0.0019999999999997797,-0.0342
2024-12-31,5.848,5.858,5.671,5.674,765761063.0,4398943158.64,510500.SH,5.848,-0.1739999999999995,-2.9754
2025-01-02,5.67,5.672,5.448,5.504,445655558.0,2480093177.12,510500.SH,5.674,-0.17000000000000082,-2.9961
2025-01-03,5.499,5.532,5.374,5.393,456886357.0,2491017172.78,510500.SH,5.504,-0.11099999999999977,-2.0167
2025-01-06,5.385,5.437,5.342,5.38,338190793.0,1820016061.68,510500.SH,5.393,-0.0129999999999999,-0.2411
2025-01-07,5.381,5.438,5.355,5.437,415310836.0,2245699727.36,510500.SH,5.38,0.057000000000000384,1.0595
2025-01-08,5.419,5.46,5.283,5.414,433877369.0,2328052709.3,510500.SH,5.437,-0.023000000000000576,-0.423
2025-01-09,5.395,5.448,5.391,5.411,274909306.0,1491120294.41,510500.SH,5.414,-0.0030000000000001137,-0.0554
2025-01-10,5.407,5.455,5.328,5.331,236933023.0,1274891585.75,510500.SH,5.411,-0.07999999999999918,-1.4785
2025-01-13,5.284,5.379,5.283,5.339,305779583.0,1630045185.83,510500.SH,5.331,0.008000000000000007,0.1501
2025-01-14,5.352,5.541,5.328,5.522,513741122.0,2806795065.01,510500.SH,5.339,0.18299999999999983,3.4276
2025-01-15,5.512,5.519,5.467,5.478,445858377.0,2446449508.05,510500.SH,5.522,-0.04400000000000048,-0.7968
2025-01-16,5.501,5.591,5.459,5.496,510624155.0,2819882907.27,510500.SH,5.478,0.018000000000000682,0.3286
